id;province_id;city_id;city_name;pinyin;pinyin_first
1;1;110101;东城区;dong'cheng'qu;d'c'q
2;1;110102;西城区;xi'cheng'qu;x'c'q
3;1;110105;朝阳区;chao'yang'qu;c'y'q
4;1;110106;丰台区;feng'tai'qu;f't'q
5;1;110107;石景山区;shi'jing'shan'qu;s'j's'q
6;1;110108;海淀区;hai'dian'qu;h'd'q
7;1;110109;门头沟区;men'tou'gou'qu;m't'g'q
8;1;110111;房山区;fang'shan'qu;f's'q
9;1;110112;通州区;tong'zhou'qu;t'z'q
10;1;110113;顺义区;shun'yi'qu;s'y'q
11;1;110114;昌平区;chang'ping'qu;c'p'q
12;1;110115;大兴区;da'xing'qu;d'x'q
13;1;110116;怀柔区;huai'rou'qu;h'r'q
14;1;110117;平谷区;ping'gu'qu;p'g'q
15;1;110228;密云县;mi'yun'xian;m'y'x
16;1;110229;延庆县;yan'qing'xian;y'q'x
17;2;120101;和平区;he'ping'qu;h'p'q
18;2;120102;河东区;he'dong'qu;h'd'q
19;2;120103;河西区;he'xi'qu;h'x'q
20;2;120104;南开区;nan'kai'qu;n'k'q
21;2;120105;河北区;he'bei'qu;h'b'q
22;2;120106;红桥区;hong'qiao'qu;h'q'q
23;2;120110;东丽区;dong'li'qu;d'l'q
24;2;120111;西青区;xi'qing'qu;x'q'q
25;2;120112;津南区;jin'nan'qu;j'n'q
26;2;120113;北辰区;bei'chen'qu;b'c'q
27;2;120114;武清区;wu'qing'qu;w'q'q
28;2;120115;宝坻区;bao'chi'qu;b'c'q
29;2;120116;滨海新区;bin'hai'xin'qu;b'h'x'q
30;2;120221;宁河县;ning'he'xian;n'h'x
31;2;120223;静海县;jing'hai'xian;j'h'x
32;2;120225;蓟县;ji'xian;j'x
33;3;130100;石家庄市;shi'jia'zhuang'shi;s'j'z's
34;3;130102;长安区;zhang'an'qu;z'a'q
35;3;130103;桥东区;qiao'dong'qu;q'd'q
36;3;130104;桥西区;qiao'xi'qu;q'x'q
37;3;130105;新华区;xin'hua'qu;x'h'q
38;3;130107;井陉矿区;jing'xing'kuang'qu;j'x'k'q
39;3;130108;裕华区;yu'hua'qu;y'h'q
40;3;130121;井陉县;jing'xing'xian;j'x'x
41;3;130123;正定县;zheng'ding'xian;z'd'x
42;3;130124;栾城县;luan'cheng'xian;l'c'x
43;3;130125;行唐县;xing'tang'xian;x't'x
44;3;130126;灵寿县;ling'shou'xian;l's'x
45;3;130127;高邑县;gao'yi'xian;g'y'x
46;3;130128;深泽县;shen'ze'xian;s'z'x
47;3;130129;赞皇县;zan'huang'xian;z'h'x
48;3;130130;无极县;wu'ji'xian;w'j'x
49;3;130131;平山县;ping'shan'xian;p's'x
50;3;130132;元氏县;yuan'shi'xian;y's'x
51;3;130133;赵县;zhao'xian;z'x
52;3;130181;辛集市;xin'ji'shi;x'j's
53;3;130182;藁城市;gao'cheng'shi;g'c's
54;3;130183;晋州市;jin'zhou'shi;j'z's
55;3;130184;新乐市;xin'le'shi;x'l's
