id;province_id;province_name;pinyin;pinyin_first
1;110000;北京市;bei'jing'shi;b'j's
2;120000;天津市;tian'jin'shi;t'j's
3;130000;河北省;he'bei'sheng;h'b's
4;140000;山西省;shan'xi'sheng;s'x's
5;150000;内蒙古自治区;nei'meng'gu'zi'zhi'qu;n'm'g'z'z'q
6;210000;辽宁省;liao'ning'sheng;l'n's
7;220000;吉林省;ji'lin'sheng;j'l's
8;230000;黑龙江省;hei'long'jiang'sheng;h'l'j's
9;310000;上海市;shang'hai'shi;s'h's
10;320000;江苏省;jiang'su'sheng;j's's
11;330000;浙江省;zhe'jiang'sheng;z'j's
12;340000;安徽省;an'hui'sheng;a'h's
13;350000;福建省;fu'jian'sheng;f'j's
14;360000;江西省;jiang'xi'sheng;j'x's
15;370000;山东省;shan'dong'sheng;s'd's
16;410000;河南省;he'nan'sheng;h'n's
17;420000;湖北省;hu'bei'sheng;h'b's
18;430000;湖南省;hu'nan'sheng;h'n's
19;440000;广东省;guang'dong'sheng;g'd's
20;450000;广西壮族自治区;guang'xi'zhuang'zu'zi'zhi'qu;g'x'z'z'z'z'q
21;460000;海南省;hai'nan'sheng;h'n's
22;500000;重庆市;zhong'qing'shi;z'q's
23;510000;四川省;si'chuan'sheng;s'c's
24;520000;贵州省;gui'zhou'sheng;g'z's
25;530000;云南省;yun'nan'sheng;y'n's
26;540000;西藏自治区;xi'cang'zi'zhi'qu;x'c'z'z'q
27;610000;陕西省;shan'xi'sheng;s'x's
28;620000;甘肃省;gan'su'sheng;g's's
29;630000;青海省;qing'hai'sheng;q'h's
30;640000;宁夏回族自治区;ning'xia'hui'zu'zi'zhi'qu;n'x'h'z'z'z'q
31;650000;新疆维吾尔自治区;xin'jiang'wei'wu'er'zi'zhi'qu;x'j'w'w'e'z'z'q
